0;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;;;;;;;;;;;;;;;;;;;;;;;;
20110823;23/08/2011 00:00;mardi, août 23 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;235;Jour 235;54;Jour 54;54;Jour 54;23;Jour 23;2;Jour 2;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110824;24/08/2011 00:00;mercredi, août 24 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;236;Jour 236;55;Jour 55;55;Jour 55;24;Jour 24;3;Jour 3;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110825;25/08/2011 00:00;jeudi, août 25 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;237;Jour 237;56;Jour 56;56;Jour 56;25;Jour 25;4;Jour 4;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110826;26/08/2011 00:00;vendredi, août 26 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;238;Jour 238;57;Jour 57;57;Jour 57;26;Jour 26;5;Jour 5;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110827;27/08/2011 00:00;samedi, août 27 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;239;Jour 239;58;Jour 58;58;Jour 58;27;Jour 27;6;Jour 6;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110828;28/08/2011 00:00;dimanche, août 28 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110822;22/08/2011 00:00;Semaine 35, 2011;240;Jour 240;59;Jour 59;59;Jour 59;28;Jour 28;7;Jour 7;35;Semaine 35;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110829;29/08/2011 00:00;lundi, août 29 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;241;Jour 241;60;Jour 60;60;Jour 60;29;Jour 29;1;Jour 1;36;Semaine 36;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110830;30/08/2011 00:00;mardi, août 30 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;242;Jour 242;61;Jour 61;61;Jour 61;30;Jour 30;2;Jour 2;36;Semaine 36;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110831;31/08/2011 00:00;mercredi, août 31 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110801;01/08/2011 00:00;août 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;243;Jour 243;62;Jour 62;62;Jour 62;31;Jour 31;3;Jour 3;36;Semaine 36;8;Mois 8;2;Mois 2;2;Mois 2;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110901;01/09/2011 00:00;jeudi, septembre 01 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;244;Jour 244;63;Jour 63;63;Jour 63;1;Jour 1;4;Jour 4;36;Semaine 36;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110902;02/09/2011 00:00;vendredi, septembre 02 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;245;Jour 245;64;Jour 64;64;Jour 64;2;Jour 2;5;Jour 5;36;Semaine 36;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110903;03/09/2011 00:00;samedi, septembre 03 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;246;Jour 246;65;Jour 65;65;Jour 65;3;Jour 3;6;Jour 6;36;Semaine 36;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110904;04/09/2011 00:00;dimanche, septembre 04 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110829;29/08/2011 00:00;Semaine 36, 2011;247;Jour 247;66;Jour 66;66;Jour 66;4;Jour 4;7;Jour 7;36;Semaine 36;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110905;05/09/2011 00:00;lundi, septembre 05 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;248;Jour 248;67;Jour 67;67;Jour 67;5;Jour 5;1;Jour 1;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110906;06/09/2011 00:00;mardi, septembre 06 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;249;Jour 249;68;Jour 68;68;Jour 68;6;Jour 6;2;Jour 2;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110907;07/09/2011 00:00;mercredi, septembre 07 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;250;Jour 250;69;Jour 69;69;Jour 69;7;Jour 7;3;Jour 3;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110908;08/09/2011 00:00;jeudi, septembre 08 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;251;Jour 251;70;Jour 70;70;Jour 70;8;Jour 8;4;Jour 4;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110909;09/09/2011 00:00;vendredi, septembre 09 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;252;Jour 252;71;Jour 71;71;Jour 71;9;Jour 9;5;Jour 5;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110910;10/09/2011 00:00;samedi, septembre 10 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;253;Jour 253;72;Jour 72;72;Jour 72;10;Jour 10;6;Jour 6;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110911;11/09/2011 00:00;dimanche, septembre 11 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110905;05/09/2011 00:00;Semaine 37, 2011;254;Jour 254;73;Jour 73;73;Jour 73;11;Jour 11;7;Jour 7;37;Semaine 37;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110912;12/09/2011 00:00;lundi, septembre 12 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;255;Jour 255;74;Jour 74;74;Jour 74;12;Jour 12;1;Jour 1;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110913;13/09/2011 00:00;mardi, septembre 13 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;256;Jour 256;75;Jour 75;75;Jour 75;13;Jour 13;2;Jour 2;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110914;14/09/2011 00:00;mercredi, septembre 14 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;257;Jour 257;76;Jour 76;76;Jour 76;14;Jour 14;3;Jour 3;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110915;15/09/2011 00:00;jeudi, septembre 15 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;258;Jour 258;77;Jour 77;77;Jour 77;15;Jour 15;4;Jour 4;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110916;16/09/2011 00:00;vendredi, septembre 16 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;259;Jour 259;78;Jour 78;78;Jour 78;16;Jour 16;5;Jour 5;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110917;17/09/2011 00:00;samedi, septembre 17 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;260;Jour 260;79;Jour 79;79;Jour 79;17;Jour 17;6;Jour 6;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110918;18/09/2011 00:00;dimanche, septembre 18 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110912;12/09/2011 00:00;Semaine 38, 2011;261;Jour 261;80;Jour 80;80;Jour 80;18;Jour 18;7;Jour 7;38;Semaine 38;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110919;19/09/2011 00:00;lundi, septembre 19 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;262;Jour 262;81;Jour 81;81;Jour 81;19;Jour 19;1;Jour 1;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110920;20/09/2011 00:00;mardi, septembre 20 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;263;Jour 263;82;Jour 82;82;Jour 82;20;Jour 20;2;Jour 2;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110921;21/09/2011 00:00;mercredi, septembre 21 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;264;Jour 264;83;Jour 83;83;Jour 83;21;Jour 21;3;Jour 3;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110922;22/09/2011 00:00;jeudi, septembre 22 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;265;Jour 265;84;Jour 84;84;Jour 84;22;Jour 22;4;Jour 4;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110923;23/09/2011 00:00;vendredi, septembre 23 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;266;Jour 266;85;Jour 85;85;Jour 85;23;Jour 23;5;Jour 5;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110924;24/09/2011 00:00;samedi, septembre 24 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;267;Jour 267;86;Jour 86;86;Jour 86;24;Jour 24;6;Jour 6;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110925;25/09/2011 00:00;dimanche, septembre 25 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110919;19/09/2011 00:00;Semaine 39, 2011;268;Jour 268;87;Jour 87;87;Jour 87;25;Jour 25;7;Jour 7;39;Semaine 39;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110926;26/09/2011 00:00;lundi, septembre 26 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;269;Jour 269;88;Jour 88;88;Jour 88;26;Jour 26;1;Jour 1;40;Semaine 40;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110927;27/09/2011 00:00;mardi, septembre 27 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;270;Jour 270;89;Jour 89;89;Jour 89;27;Jour 27;2;Jour 2;40;Semaine 40;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110928;28/09/2011 00:00;mercredi, septembre 28 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;271;Jour 271;90;Jour 90;90;Jour 90;28;Jour 28;3;Jour 3;40;Semaine 40;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110929;29/09/2011 00:00;jeudi, septembre 29 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;272;Jour 272;91;Jour 91;91;Jour 91;29;Jour 29;4;Jour 4;40;Semaine 40;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20110930;30/09/2011 00:00;vendredi, septembre 30 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20110701;01/07/2011 00:00;Trimestre 3, 2011;20110901;01/09/2011 00:00;septembre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;273;Jour 273;92;Jour 92;92;Jour 92;30;Jour 30;5;Jour 5;40;Semaine 40;9;Mois 9;3;Mois 3;3;Mois 3;3;Trimestre 3;1;Trimestre 1;2;Semestre 2
20111001;01/10/2011 00:00;samedi, octobre 01 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;274;Jour 274;93;Jour 93;1;Jour 1;1;Jour 1;6;Jour 6;40;Semaine 40;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111002;02/10/2011 00:00;dimanche, octobre 02 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20110926;26/09/2011 00:00;Semaine 40, 2011;275;Jour 275;94;Jour 94;2;Jour 2;2;Jour 2;7;Jour 7;40;Semaine 40;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111003;03/10/2011 00:00;lundi, octobre 03 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;276;Jour 276;95;Jour 95;3;Jour 3;3;Jour 3;1;Jour 1;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111004;04/10/2011 00:00;mardi, octobre 04 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;277;Jour 277;96;Jour 96;4;Jour 4;4;Jour 4;2;Jour 2;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111005;05/10/2011 00:00;mercredi, octobre 05 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;278;Jour 278;97;Jour 97;5;Jour 5;5;Jour 5;3;Jour 3;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111006;06/10/2011 00:00;jeudi, octobre 06 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;279;Jour 279;98;Jour 98;6;Jour 6;6;Jour 6;4;Jour 4;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111007;07/10/2011 00:00;vendredi, octobre 07 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;280;Jour 280;99;Jour 99;7;Jour 7;7;Jour 7;5;Jour 5;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111008;08/10/2011 00:00;samedi, octobre 08 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;281;Jour 281;100;Jour 100;8;Jour 8;8;Jour 8;6;Jour 6;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111009;09/10/2011 00:00;dimanche, octobre 09 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111003;03/10/2011 00:00;Semaine 41, 2011;282;Jour 282;101;Jour 101;9;Jour 9;9;Jour 9;7;Jour 7;41;Semaine 41;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111010;10/10/2011 00:00;lundi, octobre 10 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;283;Jour 283;102;Jour 102;10;Jour 10;10;Jour 10;1;Jour 1;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111011;11/10/2011 00:00;mardi, octobre 11 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;284;Jour 284;103;Jour 103;11;Jour 11;11;Jour 11;2;Jour 2;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111012;12/10/2011 00:00;mercredi, octobre 12 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;285;Jour 285;104;Jour 104;12;Jour 12;12;Jour 12;3;Jour 3;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111013;13/10/2011 00:00;jeudi, octobre 13 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;286;Jour 286;105;Jour 105;13;Jour 13;13;Jour 13;4;Jour 4;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111014;14/10/2011 00:00;vendredi, octobre 14 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;287;Jour 287;106;Jour 106;14;Jour 14;14;Jour 14;5;Jour 5;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
20111015;15/10/2011 00:00;samedi, octobre 15 2011;20110101;01/01/2011 00:00;Calendrier 2011;20110701;01/07/2011 00:00;Semestre 2, 2011;20111001;01/10/2011 00:00;Trimestre 4, 2011;20111001;01/10/2011 00:00;octobre 2011;20111010;10/10/2011 00:00;Semaine 42, 2011;288;Jour 288;107;Jour 107;15;Jour 15;15;Jour 15;6;Jour 6;42;Semaine 42;10;Mois 10;4;Mois 4;1;Mois 1;4;Trimestre 4;2;Trimestre 2;2;Semestre 2
